Id,SalePrice
1461,131530.0
1462,158350.0
1463,124490.0
1464,144750.0
1465,290475.0
1466,129400.0
1467,129400.0
1468,131840.0
1469,215642.6
1470,122040.0
1471,248872.5
1472,149510.0
1473,141310.0
1474,141910.0
1475,241300.0
1476,275650.0
1477,282545.1
1478,271400.0
1479,283755.0
1480,262200.0
1481,273430.0
1482,279325.0
1483,136490.0
1484,241900.0
1485,221142.6
1486,241300.0
1487,279725.0
1488,245905.0
1489,232770.1
1490,131840.0
1491,234580.0
1492,135640.0
1493,150330.0
1494,272405.0
1495,272005.0
1496,248872.5
1497,241300.0
1498,260600.5
1499,228922.5
1500,151950.0
1501,158450.0
1502,225327.5
1503,279125.0
1504,270195.1
1505,240342.6
1506,156110.0
1507,142140.0
1508,142140.0
1509,145440.0
1510,151200.0
1511,136760.0
1512,155950.0
1513,143100.0
1514,155760.0
1515,153480.0
1516,163200.0
1517,156010.0
1518,132250.0
1519,242152.5
1520,151200.0
1521,151200.0
1522,160730.0
1523,135740.0
1524,135740.0
1525,140490.0
1526,148900.0
1527,131530.0
1528,142890.0
1529,135740.0
1530,158350.0
1531,143270.0
1532,135640.0
1533,135740.0
1534,142990.0
1535,138190.0
1536,135740.0
1537,110240.0
1538,244650.0
1539,254300.0
1540,137850.0
1541,142990.0
1542,135740.0
1543,217162.5
1544,135640.0
1545,142740.0
1546,145270.0
1547,153480.0
1548,142890.0
1549,115540.0
1550,138190.0
1551,142990.0
1552,135640.0
1553,142890.0
1554,142990.0
1555,154390.0
1556,135400.0
1557,135400.0
1558,136490.0
1559,133500.0
1560,138090.0
1561,151200.0
1562,147810.0
1563,132250.0
1564,124420.0
1565,136630.0
1566,217422.5
1567,140390.0
1568,144750.0
1569,138590.0
1570,145440.0
1571,135740.0
1572,122040.0
1573,220622.5
1574,138190.0
1575,245452.5
1576,151150.0
1577,241900.0
1578,145440.0
1579,135640.0
1580,257672.5
1581,131205.3
1582,135740.0
1583,272405.0
1584,232770.1
1585,144750.0
1586,119970.0
1587,148800.0
1588,135640.0
1589,153650.0
1590,142990.0
1591,135740.0
1592,151200.0
1593,142990.0
1594,112560.0
1595,138190.0
1596,217892.5
1597,151200.0
1598,226252.5
